Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ABW,Aruba,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,0.339,-1.1,-0.851,1.447,1.538,1.885,0.554,-1.757,3.143,-6.404,-0.959,-0.339,1.185,4.21,-0.084,-0.597,-3.518,-5.738,-2.679,-3.703,2.301,2.625,1.001,1.897,4.172,-11.694,-12.985,-0.596,3.05,4.48,5.351,5.791
ABW,Aruba,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,55.095,54.771,51.068,41.039,39.288,38.613,44.326,47.079,40.848,42.543,45.093,45.518,44.558,40.311,48.785,54.661,61.747,65.534,70.033,77.452,73.876,75.387,75.825,75.004,72.2,116.971,130.335,121.402,112.658,103.951,99.936,96.157
ABW,Aruba,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,3.2,2.996,1.875,2.277,4.049,2.882,3.316,3.656,2.529,3.398,3.608,5.392,8.957,-2.136,2.078,4.375,0.572,-2.372,0.422,0.475,-0.932,-1.028,3.626,3.939,-1.338,0.098,1.981,3.194,3.333,2.733,2.134
ABW,Aruba,3296,Unemployment rate (% of total labor force) (WEO),%,,,,,,,,,,,,6.078,7.324,6.447,5.107,5.71,6.629,5.306,3.25,4.793,6.923,6.489,8.131,11.4,9.5,8.8,9.3,5.71,6.9,10.3,10.6,8.879,9.607,7.599,7.451,7.298,7.694,8.923,7.283,5.1,13.997,19.998,11.501,6.801,5.102,5.09,5.091
AFG,Afghanistan,345,Total investment (% of GDP),% of GDP,,,,,,,,,,,,,,,,,,,,,,,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.45,18.427,19.298,18.477,18.039,18.192,16.42,17.416,18.336,18.482,19.306,18.541,20.065
AFG,Afghanistan,346,Gross national savings (% of GDP),% of GDP,,,,,,,,,,,,,,,,,,,,,,,61.151,59.718,72.57,67.274,50.333,119.243,63.99,78.09,59.699,52.981,36.204,,24.007,22.223,28.316,26.063,30.197,29.897,27.132,27.391,26.613,26.222,26.565,23.941,23.739
AFG,Afghanistan,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,,,,,,,,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,120.671,126.78,132.479,137.745,143.253,148.984,154.945
AFG,Afghanistan,352,Population (WEO),Value,,,,,,,,,,,,,,,,,,,,,,,18.707,19.477,20.237,20.947,21.596,22.426,22.997,23.596,24.269,25.031,25.864,26.736,27.601,28.425,29.2,29.7,31.6,32.2,32.941,33.698,34.473,35.266,36.077,36.907,37.756
AFG,Afghanistan,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,,,,,,,12.411,26.242,37.101,47.868,63.294,91.817,108.251,128.548,148.052,183.439,258.689,278.95,300.521,318.255,342.771,356.482,384.176,411.473,433.836,456.233,495.984,551.649,586.583,596.32,643.853
AFG,Afghanistan,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,,,,,,-0.176,-4.624,-5.891,-2.941,2.225,-10.654,-20.09,-10.803,6.56,-5.618,1.882,-7.047,-20.334,-16.898,1.556,-8.653,21.697,-15.55,-36.165,-39.985,-26.3,-14.078,-14.354,-20.338,-23.245
AFG,Afghanistan,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,,,,,,,,-5.891,-2.797,2.364,-10.524,-19.994,-10.691,6.643,-4.794,2.66,-6.075,-19.935,-16.27,2.35,-7.767,22.486,-14.971,-35.593,-39.321,-25.421,-12.56,-12.063,-17.138,-18.976
AFG,Afghanistan,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,,,,618.456,595.36,603.134,629.234,79.485,86.083,98.622,98.658,54.784,62.726,69.865,77.111,102.928,112.281,103.181,102.807,98.042,90.092,114.461,141.213,166.73,194.555,224.836,258.432,295.344
AFG,Afghanistan,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,,,,,,,,,178.756,220.013,246.21,,345.817,427.495,517.509,607.227,711.759,836.222,1033.59,1116.83,1183.04,1226.57,1222.92,1285.46,1327.69,1469.6,1470.21,1599.35,1745.26,1896.29,2051.19,2218.82,2399.92
AFG,Afghanistan,362,Volume of imports (% change),Percent change,,,,,,,,,,,,,,,,,,,,,,,,35.018,-0.96,51.689,-1.056,-15.195,-2.958,25.444,33.425,8.001,36.034,7.935,-16.77,23.256,-7.608,2.597,-7.405,-5.758,4.028,5.031,1.879,0.851,0.246,0.287,0.515
AFG,Afghanistan,363,Volume of exports (% change),Percent change,,,,,,,,,,,,,,,,,,,,,,,,87.548,-27.364,17.543,-33.218,39.065,50.728,-20.6,-2.964,-10.267,4.539,10.092,34.84,12.919,12.99,18.262,3.793,0.068,-14.255,5.375,5.362,6.694,6.803,6.804,8.005
AFG,Afghanistan,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,,,,,,,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.947,28.029,27.732,28.936,27.999,29.508,28.526,28.419,29.091,28.597,26.876,26.828
AFG,Afghanistan,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,,,,,,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.127,-0.673,1.634,-1.058,-2.46,-2.5,-1.507,-0.742,-0.7,-0.917,-0.969
AFG,Afghanistan,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,,,,,,,,-2.393,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.192,-0.604,1.694,-1.019,-2.421,-2.459,-1.457,-0.662,-0.588,-0.772,-0.791
AFG,Afghanistan,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,,,,,,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.697,7.501,6.759,6.904,8.7,9.154,8.437,7.998,7.384,6.13,7.785,8.829,9.553,10.26,10.961,11.647,12.306
AFG,Afghanistan,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,5.607,5.062,4.495,3.975,3.999,4,4.001
AGO,Angola,345,Total investment (% of GDP),% of GDP,15.938,17.288,19.613,16.279,16.234,12.426,12.475,12.37,9.638,9.588,5.725,12.492,21.071,21.619,21.016,22.826,28.368,20.822,28.778,22.568,30.493,30.493,30.493,30.451,30.894,27.557,23.301,25.731,30.804,42.821,28.197,26.424,26.668,26.143,27.5,34.202,27.215,24.13,20.303,19.638,23.006,22.205,22.511,22.799,23.004,23.061,22.988
AGO,Angola,346,Gross national savings (% of GDP),% of GDP,17.704,15.105,12.419,11.463,14.437,11.788,5.41,14.15,2.68,9.089,32.396,37.694,42.412,45.441,47.822,52.231,75.766,39.511,35.624,36.319,37.618,17.401,27.422,26.017,33.543,41.158,43.429,39.743,37.691,26.329,34.833,37.876,37.228,32.007,29.807,28.491,24.487,23.351,27.342,25.384,22.399,22.987,22.967,22.588,22.513,23.031,22.479
AGO,Angola,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,301.218,352.664,431.227,527.371,596.438,649.509,694.33,735.99,778.54
AGO,Angola,352,Population (WEO),Value,8.91,9.151,9.393,9.639,9.894,11.149,11.467,11.76,12.079,12.41,12.742,13.124,13.518,13.923,14.341,14.771,15.214,15.671,16.141,16.625,17.124,17.637,18.166,18.711,19.273,19.851,20.446,21.06,21.692,22.342,23.013,23.703,24.414,25.147,25.901,26.681,27.503,28.377,29.25,30.128,31.031,31.962,32.921,33.909,34.926,35.974,37.053
AGO,Angola,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,0.339,0.754,1.073,10.873,45.484,82.661,207.753,457.154,586.399,854.785,1288.35,1908.84,3498.79,2510.2,3034.03,3927.55,4548.77,4888.69,5222.02,3773.71,3648.04,4823.57,5273.87,6290.94,7187.1,9265.85,10066.48,10919.31,11570,12283.45,12988.31
AGO,Angola,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,0.06,-0.007,-0.21,-2.236,2.567,7.658,-16.917,-62.256,23.287,231.059,396.677,215.87,-281.356,-440.464,261.463,848.602,505.037,-40.085,-819.375,-406.964,-748.074,-1277.3,586.09,239.217,-609.578,576.927,973.934,919.829,1041.33,1102.51,1227.1
AGO,Angola,356,General government structural balance,National Currency,,,,,,,,,,,,,,,,,,,,,69.49,93.01,-135.947,-143.456,-23.98,70.502,162.355,-0.297,-158.844,-245.981,188.605,306.403,-20.107,-258.996,-755.942,146.57,-268.637,-781.286,900.95,399.526,-203.691,232.391,610.045,666.364,931.541,1130.66,1343.15
AGO,Angola,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,0.153,0.117,0.007,-0.684,7.54,17.478,-1.385,-43.252,61.076,279.643,450.016,269.528,-158.7,-337.328,350.999,943.251,610.322,59.02,-669.879,-158.494,-277.674,-599.942,1800,1959.87,1702.87,3584.48,3871.91,3839.96,3980.4,4085.63,4163.09
AGO,Angola,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,,150.141,273.646,490.63,770.358,938.867,1078.33,788.437,1053.51,2084.57,3140.17,2862.15,3103.84,3262.91,4374.03,5702.31,7964.64,12521.84,14034.66,23832.49,35012.67,45895.98,52735.84,53806.59,54724.25,54080.6,53088.75,52360.72
AGO,Angola,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,0.001,0.017,1.022,2.143,3.126,21.002,112.118,241.088,665.385,1328.94,1967.57,3222.35,4209.76,5006.34,6643.35,5577.34,7701.65,10500.94,12224.95,13195,14323.86,13950.29,16549.57,20262.28,26777.99,32689.56,36105.76,47618.99,54047.15,59872.45,65608.87,71508.74,77904.29
AGO,Angola,362,Volume of imports (% change),Percent change,-5,-3.3,-21.5,-17.4,30.4,-14.5,-25.7,16.8,2.1,-5.6,12.9,-14.257,42.589,-23.32,-19.574,15.717,11.645,39.356,-15.434,56.08,1.023,2.037,5.055,32.941,-3.648,37.419,-0.872,43.308,37.225,18.021,-31.951,8.659,20.343,12.393,10.14,-17.833,-32.773,2.62,5.541,-7.754,-24.917,10.693,-5.927,0.602,2.174,2.933,2.312
AGO,Angola,363,Volume of exports (% change),Percent change,,,,,,,,,,,,,,,,,,,2.536,1.426,1.624,-2.578,23.562,-1.578,13.226,30.262,9.97,22.12,10.307,-3.61,-3.425,-4.837,3.829,-0.752,-2.985,5.75,0.571,-5.061,1.403,0.496,0.638,0.187,0.882,0.264,1.7,4.308,0.618
AGO,Angola,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,33.197,35.186,34.339,51.772,40.568,34.287,31.223,34.4,29.803,26.527,30.604,38.129,52.666,45.007,39.394,37.402,37.209,37.05,36.457,27.051,22.043,23.806,19.695,19.245,19.906,19.458,18.625,18.238,17.635,17.178,16.672
AGO,Angola,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,5.907,-0.304,-6.709,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.304,2.189,0.732,-1.688,1.212,1.802,1.536,1.587,1.542,1.575
AGO,Angola,2781,General government structural balance,% of GDP,,,,,,,,,,,,,,,,,,,,,,,-82.55,-14.998,-1.368,2.75,4.776,-0.007,-3.042,-3.925,2.528,3.466,-0.192,-2.097,-5.171,0.845,-1.305,-3.198,3.122,1.181,-0.518,0.514,1.184,1.148,1.438,1.576,1.704
AGO,Angola,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,15.015,5.448,0.227,-3.257,6.725,7.25,-0.208,-3.255,3.104,8.678,10.69,5.384,-2.389,-6.048,4.557,8.983,4.992,0.447,-4.677,-1.136,-1.678,-2.961,6.722,5.995,4.716,7.527,7.164,6.414,6.067,5.713,5.344
AGO,Angola,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,,,,133.914,113.505,73.736,57.968,47.717,33.464,18.729,21.043,31.378,56.302,37.163,29.558,26.691,33.149,39.81,57.093,75.663,69.265,89,107.107,127.115,110.745,99.555,91.401,82.429,74.241,67.212
AGO,Angola,3092,"Inflation, average consumer prices",Percent change,46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,1379.48,949.771,2672.23,4146.01,221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.079,22.277,22.295,13.096,8.898,6.901,6,5.781
ALB,Albania,345,Total investment (% of GDP),% of GDP,4.85,44.377,47.592,50.658,52.943,46.186,44.293,46.325,45.102,44.823,49.84,9.509,7.438,18.881,25.603,25.746,18.064,16.659,19.743,19.735,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.34,22.828,22.845,23.847,22.79,23.08,23.653,23.574,23.542
ALB,Albania,346,Gross national savings (% of GDP),% of GDP,27.121,39.852,41.023,44.479,46.845,40.83,40.314,42.435,40.026,38.061,41.016,-8.026,9.426,23.388,21.832,21.481,16.07,10.2,16.235,17.803,23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.129,14.539,13.255,15.136,14.563,15.043,15.92,16.076,16.335
ALB,Albania,347,"Inflation, average consumer prices",Index,,,,,,,,,,3.391,3.385,4.594,14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100,101.287,103.298,105.372,106.887,108.6,110.725,113.272,116.103,119.239,122.816,126.44
ALB,Albania,352,Population (WEO),Value,2.672,2.726,2.784,2.844,2.904,2.965,3.023,3.084,3.142,3.228,3.287,3.267,3.247,3.227,3.208,3.188,3.168,3.148,3.129,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.873,2.866,2.87,2.865,2.861,2.856,2.851,2.847,2.842,2.838
ALB,Albania,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,,100.391,141.437,164.607,169.596,184.163,192.517,201.152,222.439,232.339,254.762,282.987,342.86,373.832,364.29,376.183,376.241,394.117,442.718,441.161,429.073,451.989,471.407,493.165,536.278,580.943,559.372,583.739,618.417,658.523,701.842
ALB,Albania,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,-39.434,-38.198,-39.22,-38.954,-38.524,-37.922,-33.928,-38.083,-27.806,-28.479,-30.695,-52.782,-75.345,-43.637,-45.734,-45.857,-70.408,-76.149,-61.931,-22.052,-21.592,-22.018,-32.851,-110.374,-105.902,-53.475,-45.504,-46.805,-48.772,-49.707
ALB,Albania,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,-21.284,-3.32,-5.006,-9.381,-14.904,-13.159,-4.105,-9.66,-1.777,-3.474,-5.166,-21.476,-39.044,-2.033,-4.611,-4.359,-27.073,-36.074,-23.288,14.207,10.312,14.495,2.291,-75.981,-70.439,-13.079,-0.93,-0.163,0.998,3.165
ALB,Albania,358,General government net debt,National Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.42,807.38,921.361,914.43,986.827,1028.47,1015.75,1006.16,1022.71,1147.78,1245.28,1286.56,1321.01,1357.49,1401.97,1455.9
ALB,Albania,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,239.197,273.949,302.454,319.608,341.522,391.308,408.3,423.962,468.05,494.737,517.043,595.883,682.547,715.517,772.735,828.268,950.316,1004.51,1057.32,1079.69,1114.83,1136.96,1138.4,1247.7,1325.5,1402.14,1427.78,1495.87,1502.38,1566.31
ALB,Albania,360,Gross domestic product corresponding to fiscal year,National Currency,18.489,19.126,19.698,19.9,19.645,20.065,20.692,20.531,20.238,22.228,20.006,19.519,63.341,149.142,223.571,267.424,334.359,331.324,384.848,443.594,501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,1080.68,1143.94,1239.65,1300.62,1332.81,1350.05,1395.31,1434.31,1472.48,1550.65,1635.72,1678.43,1642.57,1757.49,1869.32,1993.85,2120.88,2262.51,2411.88
ALB,Albania,362,Volume of imports (% change),Percent change,0,0,0,0,0,0,0,,,,0,0,0,,,0,,-10.186,31.411,30.279,-14.3,33.181,6.066,7.733,21.067,9.912,7.124,21.229,-0.695,-2.6,-10.946,3.794,-5.191,-1.304,6.11,2.168,9.436,4.331,4.233,3.457,-8.818,2.498,10.261,8.696,5.878,5.643,5.321
ALB,Albania,363,Volume of exports (% change),Percent change,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,-13.472,33.237,25.413,-7.088,23.048,8.253,25.15,24.013,2.948,5.272,19.979,-55.018,-15.622,60.916,12.192,23.249,26.697,-6.215,4.356,-0.285,-1.647,14.139,-8.468,-0.34,0.582,14.941,9.514,9.164,8.215,8.703
ALB,Albania,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,,30.3,36.751,37.108,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.758,29.139,29.148,28.82,29.383,32.649,33.055,29.924,29.277,29.158,29.106,29.099
ALB,Albania,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,-11.902,-9.926,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.318,-1.498,-1.392,-1.346,-1.957,-6.72,-6.026,-2.861,-2.282,-2.207,-2.156,-2.061
ALB,Albania,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,-6.424,-0.863,-1.129,-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.005,-2.585,-1.624,0.965,0.665,0.886,0.137,-4.626,-4.008,-0.7,-0.047,-0.008,0.044,0.131
ALB,Albania,2785,General government net debt,% of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.158,60.577,68.246,65.536,68.802,69.846,65.505,61.512,60.932,69.877,70.855,68.825,66.254,64.006,61.965,60.364
ALB,Albania,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,72.194,71.184,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,73.716,73.324,71.895,69.509,67.825,75.96,75.42,75.008,71.609,70.53,66.403,64.942
ALB,Albania,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,-0.18,35.717,225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.287,1.986,2.008,1.438,1.603,1.956,2.3,2.5,2.701,3,2.95
ALB,Albania,3296,Unemployment rate (% of total labor force) (WEO),%,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.5,12.5,14,13,12.5,12,11,10
ARE,United Arab Emirates,345,Total investment (% of GDP),% of GDP,28.419,26.277,28.75,31.401,28.978,24.97,30.151,24.038,25.644,23.602,19.852,23.246,25.415,23.59,27.724,28.062,23.908,24.166,24.326,23.427,22.608,22.502,22.546,22.13,19.978,20.167,19.271,25.199,25.098,31.633,27.121,23.161,21.885,19.258,22.168,25.639,26.02,25.296,23.512,23.833,25.126,22.964,22.897,22.647,22.63,22.522,22.259
ARE,United Arab Emirates,346,Gross national savings (% of GDP),% of GDP,45.757,43.159,37.663,36.592,40.707,36.735,30.037,29.037,26.498,27.605,36.031,25.972,29.77,29.29,27.774,28.231,30.038,35.573,28.372,29.997,38.772,31.575,25.864,27.914,26.419,33.337,36.594,33.05,32.16,34.729,31.33,35.571,41.4,38.025,35.685,30.54,29.717,32.427,33.104,32.232,28.223,30.035,29.238,28.911,28.895,29.066,29.026
ARE,United Arab Emirates,347,"Inflation, average consumer prices",Index,66.7,72,77.1,78.1,80,82.8,87.3,92.1,96.7,99.4,100,103.4,110,115.8,122.4,127.7,131.5,135.4,138.1,141,142.9,146.901,151.188,155.904,163.763,173.909,190.057,211.206,237.124,240.828,242.942,245.074,246.697,249.413,255.265,265.654,269.951,275.261,283.708,278.228,272.457,280.256,283.517,285.841,289.276,293.768,299.062
ARE,United Arab Emirates,352,Population (WEO),Value,1.01,1.1,1.17,1.21,1.31,1.38,1.44,1.5,1.79,1.86,1.844,1.928,2.011,2.083,2.23,2.411,2.443,2.58,2.834,3.033,2.995,3.167,3.349,3.551,3.761,4.106,5.012,6.219,8.074,8.2,8.264,8.512,8.768,9.031,9.302,9.581,9.856,10.139,10.43,10.749,11.077,11.416,11.765,12.125,12.496,12.878,13.273
ARE,United Arab Emirates,354,General government total expenditure,National Currency,,,,,,,,,,,,65.087,56.384,60.281,63.478,60.879,73.825,63.915,71.47,75.276,82.407,95.72,86.035,91.561,96.131,104.431,127.475,167.224,254.308,325.875,343.013,401.43,400.893,434.489,490.458,425.612,415.446,428.21,448.105,467.368,416.546,453.884,452.116,454.289,459.575,468.619,479.783
ARE,United Arab Emirates,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,7.04,6.365,-5.524,-3.758,8.342,2.452,19.013,2.754,4.049,40.319,4.573,-4.992,10.739,34.743,106.045,164.368,162.195,204.343,-57.048,5.862,68.457,123.888,120.272,28.293,-44.236,-36.969,-23.797,29.459,9.104,-96.064,-19.057,-17.183,-14.01,-9.247,-4.742,0.28
ARE,United Arab Emirates,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,9.859,6.866,-5.494,-3.757,8.351,2.47,19.014,2.758,4.053,40.575,4.926,-4.879,10.76,35.045,106.29,164.38,162.261,204.725,-55.402,9.335,70.823,128.208,126.18,32.368,-41.445,-34.984,-21.872,33.123,13.635,-89.473,-9.735,-6.568,-2.596,2.721,9.521,17.345
ARE,United Arab Emirates,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,14.654,11.8,10.205,13.822,15.216,22.148,29.727,41.208,84.211,103.683,196.809,207.244,276.459,291.779,229.453,210.154,218.994,253.934,306.216,324.166,415.019,498.693,547.135,590.01,615.538,637.737,655.196,669.677
